text,DV_C,DV_n
[C][C][O][C][=C][Branch1][S][C][=Branch1][C][=O][C][C][Branch1][Ring2][C][Ring1][#Branch1][Branch1][C][C][C][C][#N],0.5264808899994641,-3.2
[C][=C][C][C][=Branch1][#Branch2][=C][C][=C][C][C][C][C][Ring1][=Branch1][O],-1.3560491100006071,-6.2
[C][C][=C][C][Branch1][C][C][C][C][=C][C][=C][C][Ring1][Branch1],-2.234563110000789,-2.9
[C][C][N][C][C][=C][Ring1][=Branch1][C][=C][N][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2],-3.5523341099999475,-6.6
[C][C][C][=C][Branch1][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][C][Ring1][=Branch1][N][O],0.5264808899994641,-3.2
[C][C][=C][C][Branch1][#Branch1][C][=C][C][=C][Ring1][#Branch1][Branch1][C][C][C][O][C],-1.3560491100006071,-6.2
[C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][C][C][Ring1][=C][=O],7.491841889999951,8.4
[C][C][=C][C][C][=C][Ring1][Ring2][C][C][Ring1][#Branch1],-2.7993221100005874,-4.0
[C][C][=C][C][=C][C][Branch1][Ring2][N][Ring1][#Branch1][N][Ring1][#Branch1],-5.874121110000109,-11.2
[C][C][Branch1][=C][C][=C][C][C][C][Ring1][=Branch1][O][C][C][O][Ring1][Branch1][C][=O],-0.0382781100003343,0.3
[C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2],-0.4775351100004253,-1.1
[C][C][=C][N][C][=Branch1][Ring2][=C][Ring1][Branch1][C][=N],-5.874121110000109,-11.2
[C][C][=C][C][=C][=C][C][Ring1][=Branch1][=C],1.404994889999646,1.0
